snapshot_at,release_id,release_tag,channel,published_at,prerelease,asset_id,name,created_at,updated_at,size,content_type,download_count,delta,platform,architecture,edition,package_type,delivery_role,status
"2026-08-07T01:29:28.989Z","297073382","0.3.1","stable","2026-03-14T21:58:40Z","true","373965180","CMTrace.Open_0.3.0_amd64.AppImage","2026-03-14T22:04:43Z","2026-03-14T22:04:45Z","78055928","application/zip","1","0","linux","x64","full","appimage","mixed-manual-update","current"
"2026-08-07T01:29:28.989Z","297073382","0.3.1","stable","2026-03-14T21:58:40Z","true","373965167","CMTrace.Open_0.3.0_amd64.deb","2026-03-14T22:04:41Z","2026-03-14T22:04:42Z","5507114","application/zip","1","0","linux","x64","full","deb","manual-only","current"
"2026-08-07T01:29:28.989Z","297073382","0.3.1","stable","2026-03-14T21:58:40Z","true","373965177","CMTrace.Open-0.3.0-1.x86_64.rpm","2026-03-14T22:04:42Z","2026-03-14T22:04:42Z","5509203","application/zip","1","0","linux","x64","full","rpm","manual-only","current"
"2026-08-07T01:29:28.989Z","297073382","0.3.1","stable","2026-03-14T21:58:40Z","true","373964781","CMTrace.Open_0.3.0_aarch64.dmg","2026-03-14T22:03:27Z","2026-03-14T22:03:27Z","5285839","application/zip","1","0","macos","arm64","full","dmg","manual-only","current"
"2026-08-07T01:29:28.989Z","297073382","0.3.1","stable","2026-03-14T21:58:40Z","true","373963182","cmtrace-open.exe","2026-03-14T21:58:36Z","2026-03-14T21:58:36Z","14783488","application/x-msdownload","4","0","unknown","unknown","unknown","unknown","unknown","current"
"2026-08-07T01:29:28.989Z","297073382","0.3.1","stable","2026-03-14T21:58:40Z","true","373964785","CMTrace.Open_aarch64.app.tar.gz","2026-03-14T22:03:28Z","2026-03-14T22:03:28Z","5017372","application/zip","2","0","unknown","unknown","unknown","unknown","unknown","current"
"2026-08-07T01:29:28.989Z","302924479","1.0.2","stable","2026-03-29T23:09:51Z","false","384257694","latest.json","2026-03-29T23:15:04Z","2026-03-29T23:15:05Z","1563","application/zip","0","0","cross-platform","unknown","not-applicable","updater-manifest","updater-only","current"
"2026-08-07T01:29:28.989Z","302924479","1.0.2","stable","2026-03-29T23:09:51Z","false","384257608","CMTrace.Open_1.0.2_aarch64.dmg","2026-03-29T23:15:01Z","2026-03-29T23:15:02Z","8998050","application/zip","2","0","macos","arm64","full","dmg","manual-only","current"
"2026-08-07T01:29:28.989Z","302924479","1.0.2","stable","2026-03-29T23:09:51Z","false","384257691","CMTrace.Open_aarch64.app.tar.gz.sig","2026-03-29T23:15:04Z","2026-03-29T23:15:04Z","412","application/zip","0","0","unknown","unknown","unknown","signature","supporting-file","current"
"2026-08-07T01:29:28.989Z","302924479","1.0.2","stable","2026-03-29T23:09:51Z","false","384257620","CMTrace.Open_aarch64.app.tar.gz","2026-03-29T23:15:03Z","2026-03-29T23:15:03Z","8381605","application/zip","1","0","unknown","unknown","unknown","unknown","unknown","current"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","477677264","latest.json","2026-07-15T07:59:11Z","2026-07-15T07:59:11Z","2389","application/json","20","0","cross-platform","unknown","not-applicable","updater-manifest","updater-only","replaced"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","478928710","latest.json","2026-07-16T08:05:39Z","2026-07-16T08:05:39Z","2389","application/json","14","0","cross-platform","unknown","not-applicable","updater-manifest","updater-only","replaced"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","480128600","latest.json","2026-07-17T08:01:37Z","2026-07-17T08:01:37Z","2389","application/json","0","0","cross-platform","unknown","not-applicable","updater-manifest","updater-only","replaced"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","481283308","latest.json","2026-07-18T07:53:18Z","2026-07-18T07:53:18Z","2389","application/json","0","0","cross-platform","unknown","not-applicable","updater-manifest","updater-only","replaced"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","482212903","latest.json","2026-07-19T08:03:32Z","2026-07-19T08:03:32Z","2389","application/json","0","0","cross-platform","unknown","not-applicable","updater-manifest","updater-only","replaced"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","484082977","latest.json","2026-07-21T00:52:56Z","2026-07-21T00:52:56Z","2389","application/json","0","0","cross-platform","unknown","not-applicable","updater-manifest","updater-only","replaced"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","485324214","latest.json","2026-07-22T00:41:05Z","2026-07-22T00:41:05Z","2389","application/json","0","0","cross-platform","unknown","not-applicable","updater-manifest","updater-only","replaced"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","486519486","latest.json","2026-07-22T23:17:30Z","2026-07-22T23:17:31Z","2389","application/json","0","0","cross-platform","unknown","not-applicable","updater-manifest","updater-only","replaced"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","487786383","latest.json","2026-07-24T00:03:16Z","2026-07-24T00:03:16Z","2397","application/json","0","0","cross-platform","unknown","not-applicable","updater-manifest","updater-only","replaced"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","488681735","latest.json","2026-07-24T18:12:21Z","2026-07-24T18:12:21Z","2397","application/json","0","0","cross-platform","unknown","not-applicable","updater-manifest","updater-only","replaced"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","489278549","latest.json","2026-07-25T08:01:51Z","2026-07-25T08:01:51Z","2397","application/json","0","0","cross-platform","unknown","not-applicable","updater-manifest","updater-only","replaced"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","490177375","latest.json","2026-07-26T08:10:03Z","2026-07-26T08:10:04Z","2397","application/json","0","0","cross-platform","unknown","not-applicable","updater-manifest","updater-only","replaced"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","491216590","latest.json","2026-07-27T08:33:26Z","2026-07-27T08:33:26Z","2397","application/json","1","0","cross-platform","unknown","not-applicable","updater-manifest","updater-only","replaced"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","492463631","latest.json","2026-07-28T08:15:10Z","2026-07-28T08:15:10Z","2397","application/json","1","0","cross-platform","unknown","not-applicable","updater-manifest","updater-only","replaced"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","493790053","latest.json","2026-07-29T08:18:29Z","2026-07-29T08:18:29Z","2397","application/json","2","0","cross-platform","unknown","not-applicable","updater-manifest","updater-only","replaced"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","495096610","latest.json","2026-07-30T08:10:48Z","2026-07-30T08:10:48Z","2397","application/json","1","0","cross-platform","unknown","not-applicable","updater-manifest","updater-only","replaced"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","496437363","latest.json","2026-07-31T08:22:37Z","2026-07-31T08:22:37Z","2397","application/json","1","0","cross-platform","unknown","not-applicable","updater-manifest","updater-only","replaced"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","497716487","latest.json","2026-08-01T08:08:39Z","2026-08-01T08:08:39Z","2397","application/json","3","0","cross-platform","unknown","not-applicable","updater-manifest","updater-only","replaced"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","498709417","latest.json","2026-08-02T08:08:46Z","2026-08-02T08:08:46Z","2397","application/json","4","0","cross-platform","unknown","not-applicable","updater-manifest","updater-only","replaced"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","499819859","latest.json","2026-08-03T08:35:12Z","2026-08-03T08:35:12Z","2397","application/json","0","0","cross-platform","unknown","not-applicable","updater-manifest","updater-only","replaced"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","501081002","latest.json","2026-08-04T08:16:12Z","2026-08-04T08:16:12Z","2397","application/json","0","0","cross-platform","unknown","not-applicable","updater-manifest","updater-only","replaced"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","502364997","latest.json","2026-08-05T08:18:28Z","2026-08-05T08:18:28Z","2397","application/json","1","0","cross-platform","unknown","not-applicable","updater-manifest","updater-only","replaced"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","503678055","latest.json","2026-08-06T08:17:55Z","2026-08-06T08:17:55Z","2397","application/json","7","","cross-platform","unknown","not-applicable","updater-manifest","updater-only","current"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","477677261","CMTrace-Open_Nightly_20260715_77_30b4e39e438c_macOS-arm64.dmg","2026-07-15T07:59:11Z","2026-07-15T07:59:11Z","9364768","application/x-apple-diskimage","0","0","macos","arm64","full","dmg","manual-only","replaced"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","478928709","CMTrace-Open_Nightly_20260716_78_d6d4c7235666_macOS-arm64.dmg","2026-07-16T08:05:39Z","2026-07-16T08:05:40Z","9427841","application/x-apple-diskimage","0","0","macos","arm64","full","dmg","manual-only","replaced"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","480128591","CMTrace-Open_Nightly_20260717_79_d6d4c7235666_macOS-arm64.dmg","2026-07-17T08:01:36Z","2026-07-17T08:01:38Z","9431348","application/x-apple-diskimage","0","0","macos","arm64","full","dmg","manual-only","replaced"
"2026-08-07T01:29:28.989Z","322160744","nightly","nightly","2026-05-13T22:04:10Z","true","481283307","CMTrace-Open_Nightly_20260718_80_d6d4c7235666_macOS-arm64.dmg","2026-07-18T07:53:18Z","2026-07-18T07:53:19Z","9431059","application/x-apple-diskimage","0","0","macos","arm64","full","dmg","manual-only","replaced"
